Neurons,% Error,number of patterns
101.0,0.0,3823.0
101.0,0.0,3833.0
101.0,0.0,3847.0
101.0,0.0,3851.0
101.0,0.1,3853.0
101.0,0.0,3863.0
101.0,0.0,3877.0
101.0,0.0,3881.0
101.0,0.0,3889.0
101.0,0.0,3907.0
101.0,0.0,3911.0
101.0,0.0,3917.0
101.0,0.0,3919.0
101.0,0.0,3923.0
101.0,0.0,3929.0
101.0,0.0,3931.0
101.0,0.0,3943.0
101.0,0.0,3947.0
101.0,0.0,3967.0
101.0,0.0,3989.0
101.0,0.0,4001.0
101.0,0.0,4003.0
101.0,0.0,4007.0
101.0,0.0,4013.0
101.0,0.0,4019.0
101.0,0.0,4021.0
101.0,0.0,4027.0
101.0,0.0,4049.0
101.0,0.0,4051.0
101.0,0.0,4057.0
101.0,0.0,4073.0
101.0,0.0,4079.0
101.0,0.0,4091.0
101.0,0.0,4093.0
101.0,0.0,4099.0
101.0,0.0,4111.0
101.0,0.0,4127.0
101.0,0.0,4129.0
101.0,0.0,4133.0
101.0,0.0,4139.0
101.0,0.0,4153.0
101.0,0.0,4157.0
101.0,0.0,4159.0
101.0,0.0,4177.0
101.0,0.0,4201.0
101.0,0.0,4211.0
101.0,0.0,4217.0
101.0,0.0,4219.0
101.0,0.0,4229.0
101.0,0.0,4231.0
101.0,0.0,4241.0
101.0,0.0,4243.0
101.0,0.0,4253.0
101.0,0.0,4259.0
101.0,0.0,4261.0
101.0,0.0,4271.0
101.0,0.0,4273.0
101.0,0.0,4283.0
101.0,0.0,4289.0
101.0,0.0,4297.0
101.0,0.0,4327.0
101.0,0.0,4337.0
101.0,0.0,4339.0
101.0,0.0,4349.0
101.0,0.0,4357.0
101.0,0.0,4363.0
101.0,0.0,4373.0
101.0,0.0,4391.0
101.0,0.0,4397.0
101.0,0.0,4409.0
101.0,0.0,4421.0
101.0,0.0,4423.0
101.0,0.0,4441.0
101.0,0.0,4447.0
101.0,0.0,4451.0
101.0,0.0,4457.0
101.0,0.0,4463.0
101.0,0.0,4481.0
101.0,0.0,4483.0
101.0,0.0,4493.0
101.0,0.0,4507.0
101.0,0.0,4513.0
101.0,0.0,4517.0
101.0,0.0,4519.0
101.0,0.0,4523.0
101.0,0.0,4547.0
101.0,0.0,4549.0
101.0,0.0,4561.0
101.0,0.0,4567.0
101.0,0.0,4583.0
101.0,0.0,4591.0
101.0,0.0,4597.0
101.0,0.0,4603.0
101.0,0.0,4621.0
101.0,0.0,4637.0
101.0,0.0,4639.0
101.0,0.0,4643.0
101.0,0.0,4649.0
101.0,0.0,4651.0
101.0,0.0,4657.0
101.0,0.1,4663.0
101.0,0.0,4673.0
101.0,0.0,4679.0
101.0,0.0,4691.0
101.0,0.0,4703.0
101.0,0.1,4721.0
101.0,0.0,4723.0
101.0,0.0,4729.0
101.0,0.0,4733.0
101.0,0.0,4751.0
101.0,0.0,4759.0
101.0,0.0,4783.0
101.0,0.0,4787.0
101.0,0.0,4789.0
101.0,0.0,4793.0
101.0,0.0,4799.0
101.0,0.0,4801.0
101.0,0.0,4813.0
101.0,0.0,4817.0
101.0,0.0,4831.0
101.0,0.0,4861.0
101.0,0.0,4871.0
101.0,0.0,4877.0
101.0,0.0,4889.0
101.0,0.0,4903.0
101.0,0.0,4909.0
101.0,0.0,4919.0
101.0,0.0,4931.0
101.0,0.0,4933.0
101.0,0.0,4937.0
101.0,0.1,4943.0
101.0,0.0,4951.0
101.0,0.0,4957.0
101.0,0.0,4967.0
101.0,0.0,4969.0
101.0,0.0,4973.0
101.0,0.0,4987.0
101.0,0.0,4993.0
101.0,0.1,4999.0
